Date,Open,High,Low,Close,Volume
2015-03-18,172.52,208.37,170.79,207.24,1376070
2015-03-19,176.2,190.46,135.62,136.98,752895
2015-03-20,159.16,183.12,116.89,151.44,4807393
2015-03-23,157.75,202.05,125.22,165.63,2096906
2015-03-24,405.28,420.5,399.25,419.98,1573084
2015-03-25,497.52,545.28,471.65,502.4,3913213
2015-03-26,165.75,202.97,164.57,180.39,1267523
2015-03-27,259.31,281.23,256.89,270.84,2765278
2015-03-30,447.28,456.29,424.8,448.21,146108
2015-03-31,209.21,241.78,182.23,217.93,1137493
2015-04-01,172.16,189.49,167.19,173.1,4425496
2015-04-02,420.11,467.9,378.43,435.44,2133191
2015-04-03,282.58,328.92,257.83,306.13,4727544
2015-04-06,449.71,488.75,408.1,465.75,2546754
2015-04-07,481.39,522.02,450.12,512.62,4816108
2015-04-08,324.73,342.29,317.36,341.31,3105063
2015-04-09,292.23,299.15,261.31,294.43,2960488
2015-04-10,464.79,496.02,423.65,436.41,3529141
2015-04-13,317.34,339.41,315.7,334.72,3761707
2015-04-14,128.9,152.99,111.08,132.25,2052602
2015-04-15,376.2,388.64,340.3,342.45,690993
2015-04-16,269.89,295.29,246.75,284.39,1634861
2015-04-17,421.5,467.88,391.77,450.91,566503
2015-04-20,414.78,440.36,371.18,407.65,4261757
2015-04-21,478.93,504.13,459.17,485.6,651074
2015-04-22,406.74,410.61,359.18,370.86,3373656
2015-04-23,347.82,350.5,325.02,331.5,454045
2015-04-24,249.45,252.78,246.44,247.88,1201234
2015-04-27,247.93,268.05,229.69,240.12,3089160
2015-04-28,459.29,491.43,442.79,454.34,2885416
2015-04-29,247.3,280.25,220.65,275.97,461629
2015-04-30,469.01,491.93,432.13,437.97,1081707
2015-05-01,202.73,236.28,182.58,220.7,2661463
2015-05-04,170.4,186.88,138.41,155.47,1851382
2015-05-05,206.6,238.28,197.21,218.38,884235
2015-05-06,363.57,394.61,319.74,374.74,2352717
2015-05-07,327.09,357.74,319.25,346.23,2680017
2015-05-08,250.33,257.12,221.62,234.89,3418966
2015-05-11,114.96,120.47,112.29,117.65,3917962
2015-05-12,182.46,194.49,139.27,148.51,2356642
2015-05-13,467.06,509.68,446.05,457.06,2357263
2015-05-14,452.95,464.95,421.02,452.43,2784374
2015-05-15,280.07,320.07,255.2,269.39,303706
2015-05-18,309.83,321.47,265.81,298.91,3331654
2015-05-19,438.75,443.99,422.86,432.93,2630243
2015-05-20,377.57,423.37,367.4,374.15,3661390
2015-05-21,453.15,487.6,422.25,455.11,4476906
2015-05-22,382.45,404.86,378.72,385.59,394444
2015-05-25,328.98,337.13,316.04,337,349791
2015-05-26,373.93,383.46,357.02,364.57,1336324
2015-05-27,393.03,424.45,365.94,411.38,3655013
2015-05-28,322.56,361.04,318.52,338.56,1925495
2015-05-29,213.96,223.73,185.32,218.59,1246162
2015-06-01,254.36,284.55,220.79,247.46,4563220
2015-06-02,332.15,373.83,321.26,358.92,4840645
2015-06-03,217.36,227.74,201.02,212.53,3612401
2015-06-04,325.5,343,288.55,307.71,2703127
2015-06-05,155.34,196.31,134.5,179.87,4546883
2015-06-08,249.37,281.19,214.49,275.43,2100781
2015-06-09,153.26,180.41,143.46,148.51,4530670
2015-06-10,109.03,126.47,81.21,94.34,1118978
2015-06-11,395.55,412.34,375.08,407.78,4200125
2015-06-12,127.74,129.7,126.22,128.9,162799
2015-06-15,383.76,396.15,349.13,393.94,3957564
2015-06-16,360.16,377.47,331.03,370.46,801408
2015-06-17,184.14,200.47,144.98,181.25,209783
2015-06-18,223.9,236.81,194.66,200.46,728884
2015-06-19,209.14,245.87,176.31,182.47,1969322
2015-06-22,408.45,423.27,402.9,406.4,3399780
2015-06-23,210.41,259.53,173.53,189.68,2733270
2015-06-24,215.93,246.57,179.5,189.61,4475234
2015-06-25,289.06,303.33,273.2,301.87,925869
2015-06-26,438.73,460.95,416.24,455.81,2632574
2015-06-29,479.21,510.1,455.34,457.99,3350892
2015-06-30,372.91,381.26,336.63,367.89,1268241
2015-07-01,488.17,502.5,487.11,492.93,688948
2015-07-02,498.79,531.2,475.68,517.31,2148289
2015-07-03,417.56,455.1,405.09,427.54,1333253
2015-07-06,474.26,490.37,461.92,484.44,1321868
2015-07-07,401.81,427.29,397.21,414.76,4457114
2015-07-08,409.26,410.65,373.09,381.43,1039092
2015-07-09,468.24,513.35,430.63,432.11,1271355
2015-07-10,176.55,222.58,169.97,179.67,1054342
2015-07-13,112.89,144.64,96.33,117.69,184077
2015-07-14,389.21,428.61,355.41,402.27,2706249
2015-07-15,272.88,295.71,233.05,262.32,374687
2015-07-16,154.57,194.55,107.84,127.86,3258901
2015-07-17,380.34,420.02,359.31,391.54,1255164
2015-07-20,350.75,353.47,344.42,345.25,1025615
2015-07-21,207.96,220.35,204.55,207.55,980652
2015-07-22,329.96,349.61,311.66,325.51,1105945
2015-07-23,458.21,503.37,437.76,480.47,3586728
2015-07-24,191.72,197.02,165.42,188.56,2306251
2015-07-27,350.71,392.05,337.66,373.65,969067
2015-07-28,351.99,374.97,346.3,347.27,1466425
2015-07-29,217.86,227.51,190.22,211.4,4583713
2015-07-30,219.49,250.76,180.26,250.06,2456299
2015-07-31,195.28,241.77,179.2,213.47,497605
2015-08-03,382.22,384.9,346.49,383.85,4405479
2015-08-04,318.76,330.25,312.25,315.01,1773416
2015-08-05,393.53,402.99,377.63,399.5,704628
2015-08-06,363.17,373.18,360.06,364.42,208515
2015-08-07,219.85,224.76,200.24,219.33,2902089
2015-08-10,186.59,202.45,180.72,189.44,3566237
2015-08-11,372.28,392.99,340.99,357.56,241897
2015-08-12,355.51,368.99,344.05,356.4,3565038
2015-08-13,342.67,352.43,299.68,320.88,4667870
2015-08-14,150.58,158.47,115.72,132.09,655894
2015-08-17,138.79,143.8,118.08,127.34,141695
2015-08-18,271.88,316.83,265.95,316.69,1716781
2015-08-19,248.99,291.72,241.34,282.04,1311526
2015-08-20,471.23,515.86,449.28,469.97,2063598
2015-08-21,457.19,472.83,436.3,456.39,4897587
2015-08-24,329.23,353.61,300.04,326.4,2263688
2015-08-25,354.91,368.83,342.47,353.58,4214531
2015-08-26,180.25,185.16,156.74,162.7,1701518
2015-08-27,153,171.78,110.03,148.79,4622618
2015-08-28,273.07,303.04,223.11,265.82,854361
2015-08-31,272.29,294.34,260.98,262.73,723555
2015-09-01,363.91,373.44,357.77,359.29,886815
2015-09-02,395.16,432.47,373.84,431.74,3384571
2015-09-03,330.97,361.08,291.28,317.1,3163552
2015-09-04,319.48,349.73,272.9,313.88,1711471
2015-09-07,119.24,159.47,92.33,138.78,2822448
2015-09-08,213.96,251.47,208.67,241.66,4086642
2015-09-09,227.2,237.72,205.32,231.38,999699
2015-09-10,300.03,336.49,250.07,271.19,4135907
2015-09-11,258.27,302.57,234.14,296.56,3191412
2015-09-14,186.2,220.81,174.29,210.23,3697704
2015-09-15,297.58,319.75,296.11,297.13,2097002
2015-09-16,155.46,170.21,139.42,160.22,1259297
2015-09-17,356.67,365.65,336.81,363.39,2806216
2015-09-18,472.5,489.9,433.21,453.3,2292293
2015-09-21,109.31,121.12,64.21,103.48,3073080
2015-09-22,281.54,287.71,253.16,257.51,3096591
2015-09-23,300.89,306.09,275.2,290.36,106574
2015-09-24,237.5,286.36,222.76,265.15,1082268
2015-09-25,196.2,222.95,159.68,217.85,146466
2015-09-28,156.91,174.21,131.81,161.62,2475589
2015-09-29,210.95,233.46,205.63,219.29,4945173
2015-09-30,436.9,452.94,425.37,445.99,1789752
2015-10-01,489.88,506.52,455.56,477.92,2013521
2015-10-02,465.45,486.62,436.88,463.63,714301
2015-10-05,108.28,139.76,67.02,86.59,2245588
2015-10-06,451.49,496.68,448.62,462.34,3403473
2015-10-07,281.29,310.29,250.83,251.83,1155336
2015-10-08,322.43,359.73,318.28,327.52,1084156
2015-10-09,394.12,438.5,347.73,427.18,896811
2015-10-12,103.45,124.31,73.66,99.32,1174625
2015-10-13,447.96,461.66,439.15,440.63,548504
2015-10-14,212.28,251.17,201.49,202.52,2918504
2015-10-15,160.76,199.26,118.06,144.37,4828353
2015-10-16,108.35,134.62,100.64,122.85,3519171
2015-10-19,347.67,354.34,329.33,334.74,4106302
2015-10-20,374.12,413.71,364.38,394.31,167736
2015-10-21,383.35,390.83,338.09,371.86,1429345
2015-10-22,380.26,408.81,370.89,408.07,656394
2015-10-23,414.4,453.89,405,429.45,3728769
2015-10-26,249.75,273.6,225.87,241.5,728153
2015-10-27,139.48,175.83,90.4,171.58,3233253
2015-10-28,299.88,303.48,260.46,295.73,4164269
2015-10-29,206.66,207.9,167.23,197.76,2926237
2015-10-30,410.76,417.39,386.23,410.77,1454764
2015-11-02,366.78,405.06,364.8,395.95,1428415
2015-11-03,231.76,238.68,215.76,219.22,1644609
2015-11-04,326.96,365.75,288.4,334.82,518610
2015-11-05,301.31,320.23,267.25,272.49,1712067
2015-11-06,327.24,371.97,300.43,313.82,2926272
2015-11-09,408.88,433.54,401.72,408.44,1109514
2015-11-10,381.27,405.72,332.79,347.43,2046180
2015-11-11,392.73,398.62,360.64,367.22,4933879
2015-11-12,372.19,413.25,363.07,394.29,1407376
2015-11-13,483.82,492.92,441.8,489.92,1183181
2015-11-16,130.55,134.1,101.07,121.26,2550038
2015-11-17,381.22,417.13,372.69,411.78,4286922
2015-11-18,299.55,339.37,277.41,278.17,3349992
2015-11-19,391.16,399.61,362.84,383.11,2864108
2015-11-20,251.59,266.35,240.14,253.55,1412019
2015-11-23,334.54,345.49,317.31,343.43,4519259
2015-11-24,294.9,326.78,288.54,318.6,2787934
2015-11-25,373.29,375.86,368.36,368.51,1235997
2015-11-26,177.52,224.23,169.2,217.63,4588056
2015-11-27,242.93,252.85,225.91,242.77,773010
2015-11-30,358.71,384.39,335.98,360.55,142148
2015-12-01,287.94,298.88,261.43,291.66,448123
2015-12-02,336.95,378.69,315.57,372.35,3803756
2015-12-03,215.95,265.8,208.87,236.45,3609664
2015-12-04,405.78,425.9,379.15,395.39,2453371
2015-12-07,249.45,292.16,222.54,249.41,2470815
2015-12-08,311.8,333.43,306.85,328.91,4926356
2015-12-09,416.86,418.48,401.03,404.21,2414462
2015-12-10,209.65,245.85,177.82,190.57,3555491
2015-12-11,164.32,183.75,125.29,164.54,624306
2015-12-14,397.19,432.54,390.36,428.5,162153
2015-12-15,109.48,152.35,83.09,109.81,4269658
2015-12-16,205.7,226.27,167.06,176.99,2129512
2015-12-17,218.38,227.77,176.55,218.54,2915819
2015-12-18,141.22,161.71,102.2,112.02,1642062
2015-12-21,157.45,171.31,136.89,154.35,3631828
2015-12-22,361.05,387.49,352.67,365.58,1318342
2015-12-23,337.28,363.1,290.77,350.74,3045391
2015-12-24,453.08,488.09,438.28,475.88,919907
2015-12-25,275.35,295.63,264.05,277.48,1227095
2015-12-28,206.6,249.13,160.24,195.61,4693952
2015-12-29,317.07,349.39,283.93,309.2,945817
2015-12-30,459.04,483.08,418.11,466.51,478027
2015-12-31,336.22,358.33,327.41,356.6,4346979
2016-01-01,304.42,329.78,297.19,323.07,4910211
2016-01-04,444.9,454.66,418.38,446.29,4053690
2016-01-05,349.24,379.58,314.68,355.07,4490610
2016-01-06,356.24,376.95,340.63,374.36,3697436
2016-01-07,206.71,240.71,191.5,230.39,1182623
2016-01-08,408.69,411.87,395.99,400.28,743994
2016-01-11,452.82,485.19,438.31,474.14,1510726
2016-01-12,365.46,397.88,345.34,377.85,1353189
2016-01-13,302.37,340.81,255.66,316.84,3503438
2016-01-14,433.92,443.6,396.66,435.95,1632126
2016-01-15,496.65,512.89,494.95,500.99,4335000
2016-01-18,197.88,215.65,196.45,197.9,501105
2016-01-19,170.49,204.18,132.63,198.17,161448
2016-01-20,420.32,464.77,388.83,399.22,1099513
2016-01-21,477.92,527.91,461.88,524.73,1301289
2016-01-22,265.65,269.97,230.56,236.7,1908070
2016-01-25,403.54,427.83,398.17,417.81,166355
2016-01-26,231.79,247.9,218.18,228.98,2883788
2016-01-27,204.75,232.63,169.4,198.87,3958862
2016-01-28,211.42,254.58,191.52,194.37,3049516
2016-01-29,468.67,503.47,426.71,474.44,1564602
2016-02-01,206.92,225.02,179.24,209.73,594744
2016-02-02,290.05,322.53,270.89,313.3,4401064
2016-02-03,488.57,509.15,483.15,490.09,2079890
2016-02-04,376.1,418.2,327.46,393.76,4024588
2016-02-05,402.26,437.48,373.16,405.06,1306760
2016-02-08,350.79,383.57,326.81,368.04,1341246
2016-02-09,253.81,302.14,246.16,295.23,1339177
2016-02-10,183.16,224.78,146.28,201.6,4117739
2016-02-11,426.54,475.24,400.27,425.07,187921
2016-02-12,112.23,120.5,63.92,91.52,1106235
2016-02-15,309.23,317.91,300,312.51,1816921
2016-02-16,181.88,193.61,178.84,181.13,3886556
2016-02-17,348.35,384.28,320.43,338.95,4922214
2016-02-18,203.61,232.63,162.4,182.85,1061617
2016-02-19,119.09,142.34,107.17,111.44,924313
2016-02-22,318.56,320.42,282.58,312.05,4538946
2016-02-23,236.71,243.29,189.37,231.62,3035771
2016-02-24,275.77,282.47,226.35,248.75,1793904
2016-02-25,155.12,175.31,133.72,137.3,2442511
2016-02-26,498.1,539.97,455.84,510.76,2811754
2016-02-29,295.6,338.75,281.02,283.83,2778314
2016-03-01,496.65,528.17,480.78,497.12,2654986
2016-03-02,327.54,343.12,290.82,308.02,790544
2016-03-03,375.53,401.13,347.08,353.44,3352794
2016-03-04,239.9,271.14,236.7,269.04,4992549
2016-03-07,182.11,185.23,156.57,158.31,3873133
2016-03-08,344.37,393.25,301.6,351.89,4816586
2016-03-09,482.94,530.02,443.97,477.26,2484875
2016-03-10,338.99,356.48,333.06,352.17,1618613
2016-03-11,111.65,146.19,89.92,105.67,1758910
2016-03-14,315.81,328.97,267.95,278.64,4439912
2016-03-15,432.55,458.63,422.82,449,1266234
2016-03-16,343.1,374.43,333.87,363.81,3109143
2016-03-17,446.6,458.15,420.12,427.03,212593
2016-03-18,414.39,449.09,366.61,388.61,3682904
2016-03-21,485.64,504.48,469.81,499.38,3530014
2016-03-22,211.53,227.93,196.81,198.07,466617
2016-03-23,402.39,450.34,388.36,440.25,4778740
2016-03-24,230.41,272.87,226.06,252.04,2591043
2016-03-25,105.23,114.28,94.38,103.28,2639030
2016-03-28,149.09,195.68,102.16,115.28,269307
2016-03-29,265.53,305.53,239.07,260.75,3764253
2016-03-30,355.49,370.08,308.78,358.31,2976019
2016-03-31,231.8,233.48,190.86,232.64,3471841
2016-04-01,192.17,231.42,186.68,197.61,1506412
2016-04-04,356.26,364.82,312.68,335.07,4645538
2016-04-05,466.28,484.51,434.42,461.01,2442623
2016-04-06,278.15,287.42,251.86,259.3,550454
2016-04-07,403.82,452.86,380.75,431.59,3123589
2016-04-08,384.85,424.91,350.63,393.71,3489645
2016-04-11,100.52,136.35,87.19,95.16,4244710
2016-04-12,404.37,419.84,369.15,377.55,3925299
2016-04-13,333.54,348.62,284.7,319.19,3063773
2016-04-14,360.05,391.37,321.05,367.27,4052355
2016-04-15,113.4,126.88,90.29,96.4,4838171
2016-04-18,129.54,136.04,106.31,114.33,270983
2016-04-19,480.11,485.92,439.73,470.8,4439464
2016-04-20,446.82,482.46,414.26,453.45,2589831
2016-04-21,369.59,396.87,325.85,367.25,411849
2016-04-22,130.34,170.88,106.2,141.71,2915320
2016-04-25,122.32,127.17,80.46,87.53,400417
2016-04-26,132.02,169.63,125.49,135.21,4936675
2016-04-27,388.86,394.72,370.65,391.21,2340795
2016-04-28,496.79,514,489.65,491.61,3725351
2016-04-29,246.06,277.55,209.14,272.34,2531503
2016-05-02,297.28,335.17,291.28,332.75,1846857
2016-05-03,390.25,421.95,370.05,413.83,2719267
2016-05-04,487.42,500.64,475.99,484.12,4472658
2016-05-05,296.98,306.51,252.45,296.63,3033697
2016-05-06,404.66,433.3,385.11,398.93,3418946
2016-05-09,174.07,202.22,151.71,173.34,2681846
2016-05-10,413.51,417.71,376.94,387.02,3462688
2016-05-11,362.13,364.44,328.71,351.05,4310978
2016-05-12,467.19,494.77,428.86,429.2,3378791
2016-05-13,183.72,190.89,137.92,141.78,4260832
2016-05-16,282.43,317.69,244.12,309.62,2048601
2016-05-17,321.23,355.89,293.41,324.47,2341508
2016-05-18,379.83,428.55,335.25,371.88,1944829
2016-05-19,432.02,471.26,397.96,442.76,505086
2016-05-20,133.6,156.9,88.15,125.13,2718692
2016-05-23,334.41,380.75,303.86,365.35,3388740
2016-05-24,397.37,422.67,351.22,408.33,2279820
2016-05-25,231.13,232.7,208.49,225.36,3042351
2016-05-26,176.25,186.69,147.26,162.04,1714042
2016-05-27,317.75,356.33,281.37,315.9,1262359
2016-05-30,440.39,482.55,394.14,443.59,4134167
2016-05-31,104.51,113.27,57.55,64.57,4649206
2016-06-01,320.04,336.17,292.15,299.34,1226288
2016-06-02,120.59,128.15,96.16,116.35,1622888
2016-06-03,228.52,243.91,215.32,219.15,1656044
2016-06-06,111.86,137.33,83.23,88.78,532245
2016-06-07,413.11,432.82,368.73,394.43,789748
2016-06-08,230.65,264.63,198.06,233.82,1167761
2016-06-09,412.96,439.23,387.41,422.85,1736947
2016-06-10,215.41,235.3,195.2,216.76,2595760
2016-06-13,429.8,449.34,402.22,425.79,2369768
2016-06-14,162.24,171.57,149.13,161.51,4404802
2016-06-15,102.17,111.5,100.49,105.31,1794932
2016-06-16,449.99,479.98,446.07,474.36,709194
2016-06-17,400.3,435.39,381.49,415.89,4990373
2016-06-20,257.46,261.67,246.78,257,2632805
2016-06-21,277.65,321.24,252.29,299.55,948663
2016-06-22,456.4,480.61,448.17,450.65,597427
2016-06-23,402.7,444.5,354.37,402.51,2506999
2016-06-24,288.99,313.42,256.29,264.97,1823712
2016-06-27,326.03,356.67,286.77,290.87,2829915
2016-06-28,245.16,294.96,222.32,269.78,1899113
2016-06-29,170.38,192.81,159.48,179.74,2686984
2016-06-30,355.07,378.26,334.67,368.88,4664453
2016-07-01,166.45,195.45,155.27,161.58,585039
2016-07-04,340.53,383.09,329.22,367.65,2885026
2016-07-05,363.71,396.76,327.93,365.89,2491995
2016-07-06,118.05,124.51,70.63,100.62,642817
2016-07-07,225.74,235.25,192.89,196.78,1789060
2016-07-08,249.83,272.6,231.33,243.19,4568257
2016-07-11,473.94,520.18,451.86,497.14,2699793
2016-07-12,411.83,432.11,364.25,381.29,4878963
2016-07-13,356.35,360.88,354.55,358.24,2671355
2016-07-14,268.99,310.61,227.46,260.9,2878196
2016-07-15,353.4,392.02,340.13,346.35,1276652
2016-07-18,400.43,410.87,388.19,404.34,2787353
2016-07-19,140.71,175.59,92.13,111.3,3201140
2016-07-20,453.02,462.17,426.69,446.34,1188550
2016-07-21,182.02,195.56,142.69,151.9,3405683
2016-07-22,393.35,437.54,380.37,424.27,151320
2016-07-25,235.51,284.73,209.65,228.34,3290881
2016-07-26,438.05,446.65,406.04,442.26,3871169
2016-07-27,119.48,137.13,84.22,109.91,1129374
2016-07-28,237.82,255.05,217.99,231.11,2777787
2016-07-29,400.22,441.65,371.68,411.36,2616311
2016-08-01,355.34,397.3,319.71,395.52,3490627
2016-08-02,159.63,172.64,126.09,151.11,665488
2016-08-03,230.94,237.45,221.89,231.17,1089375
2016-08-04,350.91,378.68,312.56,332.42,2192075
2016-08-05,429.91,459.07,404.57,409.87,3496180
2016-08-08,440.6,482.97,394.04,478.08,4706269
2016-08-09,394.69,422.39,348.4,396.36,4901910
2016-08-10,373.58,397.48,369.8,390.94,2400864
2016-08-11,148.65,196.84,113.6,143,3285305
2016-08-12,359.94,398.51,345.55,375.59,3381634
2016-08-15,401.65,441.9,368.65,436.81,3578289
2016-08-16,388.65,431.69,360.53,422.85,3468223
2016-08-17,125.45,159.73,116.28,141.08,1962592
2016-08-18,139.91,162.66,98.49,141.96,3413553
2016-08-19,206.52,209.75,202.61,209.03,3890283
2016-08-22,376.9,378.49,358.5,360.08,1952554
2016-08-23,318.24,333.13,315.82,326.21,4038290
2016-08-24,103.01,141.12,73.6,129.2,3431990
2016-08-25,290.7,337.23,262.93,331.99,4307432
2016-08-26,155.02,161.49,111.87,159.24,4608415
2016-08-29,377.64,383.58,344.43,372.63,2891725
2016-08-30,269.92,311.76,259.27,304.3,3355056
2016-08-31,173.67,192.77,128.93,169.43,671912
2016-09-01,427.21,457.22,393.99,435.1,4680339
2016-09-02,199.01,233.72,159.23,164.8,3367518
2016-09-05,383.03,387.47,343.72,355.88,2611503
2016-09-06,209.42,224.63,167.23,221.64,1763877
2016-09-07,458.28,481.95,425.67,456.38,3182671
2016-09-08,235.35,271.25,228.06,256.5,1269804
2016-09-09,168.47,206.56,150.64,174.32,4737905
2016-09-12,312.82,338.41,306.48,316.1,1297410
2016-09-13,395.69,442.15,351.71,366.07,2321045
2016-09-14,156.08,167.04,111.16,147.84,636650
2016-09-15,447.22,460.14,440.24,456.41,1759432
2016-09-16,278.86,300.64,237.54,270.3,2424079
2016-09-19,399.17,409.61,368.55,370.19,801755
2016-09-20,377.06,399.12,328.22,372.37,1785674
2016-09-21,343.16,348.38,328.94,331.78,1051473
2016-09-22,148.68,190.84,118.13,134.59,3662199
2016-09-23,477.14,485.4,448.85,459.33,1235477
2016-09-26,347.96,350.03,331.41,347.71,3492990
2016-09-27,296.28,320.08,286.81,306.91,3886310
2016-09-28,492.38,511.55,485.41,492.43,4451014
2016-09-29,159.34,181.3,153.27,179.96,2652706
2016-09-30,389.39,404.7,374.09,400.6,2123028
2016-10-03,230.09,248.43,221.2,224.62,622733
2016-10-04,439.23,471.3,406.84,422.05,3092387
2016-10-05,478.64,518.92,473.9,511.99,1352407
2016-10-06,394.57,435.18,373.62,423.35,880699
2016-10-07,445.24,486.38,439.67,450.16,3092894
2016-10-10,234.21,238.39,205.62,214.34,3344507
2016-10-11,369.3,393.62,334.26,352.15,4640151
2016-10-12,275.24,284.69,225.7,283.29,2444243
2016-10-13,384.94,429.76,344.45,411.37,4527725
2016-10-14,252.15,253.18,215.71,234.54,2356968
2016-10-17,292.01,323.82,254.46,274.25,2083836
2016-10-18,324.09,359.93,302.99,315.26,3871513
2016-10-19,479.1,500.3,429.92,472.29,4088394
2016-10-20,491.42,530.85,454.36,461.68,3725471
2016-10-21,216.46,237,207.05,232.03,4208731
2016-10-24,305.49,308.01,258.5,279.98,619308
2016-10-25,264.58,269.68,257.91,263.78,615947
2016-10-26,107.25,154.35,71.9,111.32,4364003
2016-10-27,284.71,296.2,272.69,289.82,3928774
2016-10-28,142.57,180.69,123.44,166.93,281857
2016-10-31,408.54,452.09,394.85,412.4,945534
2016-11-01,124.98,128.1,101.85,122.27,1461564
2016-11-02,174.24,224,134.62,208.16,1672382
2016-11-03,369.69,396.56,368.31,370.43,1090982
2016-11-04,365.64,373.75,359.25,365.36,2671964
2016-11-07,480.14,516.08,454.89,499.14,1517879
2016-11-08,134.28,146.19,126.3,140.19,2653306
2016-11-09,150.31,158.06,118.57,131.59,4191813
2016-11-10,483.06,489.47,459.6,467.35,4061298
2016-11-11,469.66,487.6,455.03,477.6,920189
2016-11-14,397.63,420.03,391.73,410.45,243109
2016-11-15,350.58,386.59,347.44,384.68,4998395
2016-11-16,113.81,117.05,67.93,98.56,3417900
2016-11-17,100.42,104.82,94.14,94.26,4937893
2016-11-18,408.51,423.91,371.77,414.05,2012462
2016-11-21,402.14,446.7,381.99,415.69,368245
2016-11-22,383.46,388.61,335.3,340.21,3591893
2016-11-23,378.81,396.6,351.34,391.32,938206
2016-11-24,439.72,466.85,434.95,448.03,4248771
2016-11-25,109.11,131.1,70.55,84.98,4554270
2016-11-28,433.39,440.01,406.4,435.34,1559789
2016-11-29,266.57,275.96,246.45,273.12,1237005
2016-11-30,477.96,490.95,475.33,486.03,1651194
2016-12-01,378.19,383.74,347.71,364.14,748198
2016-12-02,161.88,203.15,124.27,149.67,2789722
2016-12-05,271.4,289.34,238.18,268.71,4372997
2016-12-06,445.03,482.4,421.22,429.82,4159109
2016-12-07,414.09,417.61,397.3,402.57,1799935
2016-12-08,126.14,175.61,123.32,124.79,1383236
2016-12-09,137.33,163.03,96.24,107.42,2086309
2016-12-12,446.49,479.26,434.73,475.91,4757035
2016-12-13,234.13,249.4,209.17,221.08,2675105
2016-12-14,313.42,327.49,310.44,315.45,1840755
2016-12-15,229.22,256.37,222.48,228.18,3562919
2016-12-16,194.69,233.12,161.43,191.45,1934054
2016-12-19,127.86,176.78,85.05,169.17,1601883
2016-12-20,438.47,486.67,394.57,442.44,3707290
2016-12-21,318.29,366.17,288.14,313.83,1704102
2016-12-22,473.37,511.39,435.1,498.66,4573370
2016-12-23,261.75,270,219.95,269.65,3629880
2016-12-26,222.64,235.62,186.77,229.03,4301708
2016-12-27,422,427.21,401.12,404.56,3464364
2016-12-28,350.83,385.32,347.78,358.48,954446
2016-12-29,169.33,206.78,155.92,157.03,3207964
2016-12-30,434.82,438.71,420.23,424.02,2144060
